Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6827652,Priceless: How I Went Undercover to Rescue the World's Stolen Treasures,Robert K. Wittman,"Wittman, Robert K.",John Shiffman,"=""0307461475""","=""9780307461476""",0,3.8,Crown,Hardcover,324,2010,2010,,2019/04/23,to-read,to-read (#773),to-read,,,,0,,,0,,,,,
13642600,A Splash of Red: The Life and Art of Horace Pippin,Jen Bryant,"Bryant, Jen",Melissa Sweet,"=""0375867120""","=""9780375867125""",0,4.09,Knopf Books for Young Readers,Hardcover,40,2013,2013,,2019/04/23,to-read,to-read (#772),to-read,,,,0,,,0,,,,,
162763,History of Modern Art: Painting Sculpture Architecture Photography,H. Harvard Arnason,"Arnason, H. Harvard",Peter Kalb,"=""013184069X""","=""9780131840690""",0,3.95,Prentice Hall,Paperback,832,2003,1968,,2019/04/23,to-read,to-read (#771),to-read,,,,0,,,0,,,,,
26023794,The Singing Bones,Shaun Tan,"Tan, Shaun","Philip Pullman, Jack D. Zipes","=""1760111031""","=""9781760111038""",0,4.16,Allen & Unwin,Hardcover,185,2015,2015,,2019/04/23,to-read,to-read (#769),to-read,,,,0,,,0,,,,,
3359595,The Man Who Made Vermeers: Unvarnishing the Legend of Master Forger Han van Meegeren,Jonathan Lopez,"Lopez, Jonathan",,"=""0151013411""","=""9780151013418""",0,3.75,"Harcourt, Inc.",Hardcover,340,2008,2008,,2019/04/23,to-read,to-read (#770),to-read,,,,0,,,0,,,,,
2917848,"The Forger's Spell: A True Story of Vermeer, Nazis, and the Greatest Art Hoax of the Twentieth Century",Edward Dolnick,"Dolnick, Edward",,"=""0060825413""","=""9780060825416""",0,3.84,Harper,Hardcover,349,2008,2008,,2019/04/23,to-read,to-read (#768),to-read,,,,0,,,0,,,,,
42190,"Wabi-Sabi: For Artists, Designers, Poets & Philosophers",Leonard Koren,"Koren, Leonard",,"=""1880656124""","=""9781880656129""",0,4.03,Stone Bridge Press,Paperback,95,1994,1994,,2019/04/23,to-read,to-read (#767),to-read,,,,0,,,0,,,,,
327242,Anatomy for the Artist,Sarah Simblet,"Simblet, Sarah",,"=""078948045X""","=""0635517080452""",0,3.97,Dorling Kindersley,Hardcover,256,2001,2001,,2019/04/23,to-read,to-read (#766),to-read,,,,0,,,0,,,,,
197201,The Photo Book,Phaidon Press,"Press, Phaidon",,"=""""","=""9780714836348""",0,3.92,Phaidon Press,Hardcover,512,1997,1997,,2019/04/23,to-read,to-read (#765),to-read,,,,0,,,0,,,,,
8039941,Art & Max,David Wiesner,"Wiesner, David",,"=""0618756639""","=""9780618756636""",0,4.06,Clarion Books,Hardcover,40,2010,2010,,2019/04/23,to-read,to-read (#764),to-read,,,,0,,,0,,,,,
327246,Anatomy for the Artist,Jenő Barcsay,"Barcsay, Jenő",,"=""1402735421""","=""9781402735424""",0,3.98,Sterling,Spiral-bound,342,2006,1953,,2019/04/23,to-read,to-read (#762),to-read,,,,0,,,0,,,,,
89788,The Lady and the Unicorn,Tracy Chevalier,"Chevalier, Tracy",,"=""0452285453""","=""9780452285453""",0,3.68,Penguin Books,Paperback,250,2004,2003,,2019/04/23,to-read,to-read (#763),to-read,,,,0,,,0,,,,,
276289,The Magic Mirror of M.C. Escher,Bruno Ernst,"Ernst, Bruno","M.C. Escher, John E. Brigham","=""3822837032""","=""9783822837030""",0,4.12,Taschen,Hardcover,116,2007,1976,,2019/04/23,to-read,to-read (#761),to-read,,,,0,,,0,,,,,
5983057,The Swan Thieves,Elizabeth Kostova,"Kostova, Elizabeth",,"=""1847442404""","=""9781847442406""",0,3.55,Sphere,Hardcover,565,2010,2010,,2019/04/23,to-read,to-read (#760),to-read,,,,0,,,0,,,,,
113834,The Story of Painting,Wendy Beckett,"Beckett, Wendy",Patricia Wright,"=""0789468050""","=""9780789468055""",0,3.95,Non Basic Stock Line,Hardcover,736,2000,1994,,2019/04/23,to-read,to-read (#759),to-read,,,,0,,,0,,,,,
1757416,Leonardo da Vinci: The Complete Paintings and Drawings,Frank Zöllner,"Zöllner, Frank","Johannes Nathan, Leonardo da Vinci","=""3822838276""","=""9783822838273""",0,4.25,Taschen,Hardcover,695,2007,1999,,2019/04/23,to-read,to-read (#758),to-read,,,,0,,,0,,,,,
772976,Frida Kahlo: 1907-1954 Pain and Passion,Andrea Kettenmann,"Kettenmann, Andrea",,"=""3822859834""","=""9783822859834""",0,4.18,Taschen,Paperback,96,1999,1992,,2019/04/23,to-read,to-read (#757),to-read,,,,0,,,0,,,,,
444347,"Chasing Vermeer (Chasing Vermeer, #1)",Blue Balliett,"Balliett, Blue",Brett Helquist,"=""0439372941""","=""9780439372947""",0,3.72,Scholastic Press,Hardcover,254,2004,2004,,2019/04/23,to-read,to-read (#756),to-read,,,,0,,,0,,,,,
15929764,What Are You Looking At?: 150 Years of Modern Art in a Nutshell,Will Gompertz,"Gompertz, Will",,"=""0670920495""","=""9780670920495""",0,4.23,Viking,Hardcover,464,2012,2012,,2019/04/23,to-read,to-read (#755),to-read,,,,0,,,0,,,,,
34473,In Praise of Shadows,Jun'ichirō Tanizaki,"Tanizaki, Jun'ichirō","Edward G. Seidensticker, Thomas J. Harper, Charles Moore","=""0918172020""","=""9780918172020""",0,4.1,Leete's Island Books,Paperback,48,1977,1933,,2019/04/23,to-read,to-read (#754),to-read,,,,0,,,0,,,,,
402022,The Golden Mean (Griffin & Sabine #3),Nick Bantock,"Bantock, Nick",,"=""0811802981""","=""9780811802987""",0,4.16,Chronicle Books,Hardcover,46,1993,1993,,2019/04/23,to-read,to-read (#753),to-read,,,,0,,,0,,,,,
25664459,The Last Painting of Sara de Vos,Dominic Smith,"Smith, Dominic",,"=""0374106681""","=""9780374106683""",0,3.85,"Sarah Crichton Books/Farrar, Straus and Giroux",Hardcover,304,2016,2016,,2019/04/23,to-read,to-read (#752),to-read,,,,0,,,0,,,,,
34122206,The Secret Lives of Color,Kassia St. Clair,"Clair, Kassia St.",,"=""0143131141""","=""9780143131144""",0,4.17,Penguin Books,Hardcover,320,2017,2017,,2019/04/23,to-read,to-read (#751),to-read,,,,0,,,0,,,,,
926908,Gnomes,Rien Poortvliet,"Poortvliet, Rien",Wil Huygen,"=""0810909650""","=""9780810909656""",0,4,Harry N. Abrams,Hardcover,212,1977,1976,,2019/04/23,to-read,to-read (#750),to-read,,,,0,,,0,,,,,
25897837,Maybe Something Beautiful: How Art Transformed a Neighborhood,F. Isabel Campoy,"Campoy, F. Isabel","Theresa Howell, Rafael López","=""0544357698""","=""9780544357693""",0,4.23,HMH Books for Young Readers,Hardcover,40,2016,2016,,2019/04/23,to-read,to-read (#749),to-read,,,,0,,,0,,,,,
2086132,What It Is,Lynda Barry,"Barry, Lynda",,"=""1897299354""","=""9781897299357""",0,4.09,Drawn and Quarterly,Hardcover,210,2008,2008,,2019/04/23,to-read,to-read (#748),to-read,,,,0,,,0,,,,,
327243,Atlas of Human Anatomy for the Artist,Stephen Rogers Peck,"Peck, Stephen Rogers",,"=""0195030958""","=""9780195030952""",0,4.06,"Oxford University Press, USA",Paperback,288,1982,1951,,2019/04/23,to-read,to-read (#747),to-read,,,,0,,,0,,,,,
777712,Salvador Dalí: 1904-1989,Gilles Néret,"Néret, Gilles",Catherine Plant,"=""0760701105""","=""9780760701102""",0,4.13,Marboro Books,Hardcover,96,2001,1992,,2019/04/23,to-read,to-read (#745),to-read,,,,0,,,0,,,,,
910352,Picture This: How Pictures Work,Molly Bang,"Bang, Molly",,"=""0613300912""","=""9780613300919""",0,4.1,Turtleback Books,Hardcover,96,2000,1991,,2019/04/23,to-read,to-read (#746),to-read,,,,0,,,0,,,,,
1421684,Drawing the Head and Hands,Andrew Loomis,"Loomis, Andrew",,"=""0670283851""","=""9780670283859""",0,4.17,Viking Pr,Hardcover,154,1956,1956,,2019/04/23,to-read,to-read (#744),to-read,,,,0,,,0,,,,,
16718342,The Noisy Paint Box,Barb Rosenstock,"Rosenstock, Barb",Mary GrandPré,"=""0307978486""","=""9780307978486""",0,4.15,Alfred A. Knopf,Hardcover,32,2014,2014,,2019/04/23,to-read,to-read (#743),to-read,,,,0,,,0,,,,,
227540,The Rape of Europa: The Fate of Europe's Treasures in the Third Reich and the Second World War,Lynn H. Nicholas,"Nicholas, Lynn H.",,"=""0679756868""","=""9780679756866""",0,3.91,Vintage,Paperback,498,1995,1994,,2019/04/23,to-read,to-read (#742),to-read,,,,0,,,0,,,,,
40409748,Sacré Bleu,Christopher Moore,"Moore, Christopher",,"=""""","=""""",0,3.78,William Morrow,Kindle Edition,421,2012,2012,,2019/04/23,to-read,to-read (#741),to-read,,,,0,,,0,,,,,
48697,Art in Theory 1900 - 2000: An Anthology of Changing Ideas,Charles Harrison,"Harrison, Charles",Paul  Wood,"=""0631227083""","=""9780631227083""",0,3.94,Wiley-Blackwell,Paperback,1288,2002,2002,,2019/04/23,to-read,to-read (#740),to-read,,,,0,,,0,,,,,
40090596,Art Matters,Neil Gaiman,"Gaiman, Neil",Chris Riddell,"=""""","=""""",0,4.2,Headline,Kindle Edition,112,2018,2018,,2019/04/23,to-read,to-read (#739),to-read,,,,0,,,0,,,,,
98048,The Passion of Artemisia,Susan Vreeland,"Vreeland, Susan",,"=""0142001821""","=""9780142001820""",0,3.88,Penguin Books,Paperback,315,2003,2001,,2019/04/23,to-read,to-read (#738),to-read,,,,0,,,0,,,,,
1294306,Art and Visual Perception: A Psychology of the Creative Eye,Rudolf Arnheim,"Arnheim, Rudolf",,"=""0520026136""","=""9780520026131""",0,4.06,University of California Press,Paperback,508,1974,1954,,2019/04/23,to-read,to-read (#737),to-read,,,,0,,,0,,,,,
342637,Dali,Robert Descharnes,"Descharnes, Robert",Gilles Néret,"=""3822835536""","=""9783822835531""",0,4.17,"B.Taschen Verlag,Germany",Capa dura,780,2004,1994,,2019/04/23,to-read,to-read (#736),to-read,,,,0,,,0,,,,,
60113,"Making Comics: Storytelling Secrets of Comics, Manga and Graphic Novels",Scott McCloud,"McCloud, Scott",,"=""0060780940""","=""9780060780944""",0,4.31,William Morrow Paperbacks,Paperback,264,2006,2006,,2019/04/23,to-read,to-read (#735),to-read,,,,0,,,0,,,,,
7558367,Caravaggio: A Life Sacred and Profane,Andrew Graham-Dixon,"Graham-Dixon, Andrew",,"=""0713996749""","=""9780713996746""",0,4.09,Allen Lane,Hardcover,512,2011,2010,,2019/04/23,to-read,to-read (#733),to-read,,,,0,,,0,,,,,
257257,The 20th Century Art Book,Phaidon Press,"Press, Phaidon",,"=""0714847984""","=""9780714847986""",0,3.95,Phaidon Press,Paperback,512,2007,1996,,2019/04/23,to-read,to-read (#734),to-read,,,,0,,,0,,,,,
10909804,Just My Type: A Book About Fonts,Simon Garfield,"Garfield, Simon",,"=""1592406521""","=""9781592406524""",0,3.81,Gotham,Hardcover,384,2011,2010,,2019/04/23,to-read,to-read (#732),to-read,,,,0,,,0,,,,,
18552623,Radiant Child: The Story of Young Artist Jean-Michel Basquiat,Javaka Steptoe,"Steptoe, Javaka",,"=""0316213888""","=""9780316213882""",0,4.16,"Little, Brown Books for Young Readers",Hardcover,40,2016,2016,,2019/04/23,to-read,to-read (#731),to-read,,,,0,,,0,,,,,
17899481,Art as Therapy,Alain de Botton,"Botton, Alain de",John Armstrong,"=""0714865915""","=""9780714865911""",0,4.04,Phaidon Press,Hardcover,240,2013,2013,,2019/04/23,to-read,to-read (#730),to-read,,,,0,,,0,,,,,
7780,The Secret Art of Dr. Seuss,Dr. Seuss,"Seuss, Dr.","Maurice Sendak, Audrey Geisel","=""0679434488""","=""9780679434481""",0,4.04,Random House,Hardcover,95,1995,1995,,2019/04/23,to-read,to-read (#729),to-read,,,,0,,,0,,,,,
958215,Art Forms in Nature,Ernst Haeckel,"Haeckel, Ernst",,"=""3791319906""","=""9783791319902""",0,4.09,Prestel Publishing,Paperback,140,2008,1974,,2019/04/23,to-read,to-read (#728),to-read,,,,0,,,0,,,,,
920607,The Arrival,Shaun Tan,"Tan, Shaun",,"=""""","=""""",0,4.32,Lothian Books,Hardcover,132,2007,2006,,2019/04/23,to-read,to-read (#727),to-read,,,,0,,,0,,,,,
17287009,Humans of New York,Brandon Stanton,"Stanton, Brandon",,"=""1250038820""","=""9781250038821""",0,4.48,St. Martin's Press,Hardcover,304,2013,2013,,2019/04/23,to-read,to-read (#726),to-read,,,,0,,,0,,,,,
512662,Codex Seraphinianus. Ein Orbis Pictus des Universums der Phantasie.,Luigi Serafini,"Serafini, Luigi",,"=""3791306510""","=""9783791306513""",0,4.52,Prestel,Hardcover,365,1983,1981,,2019/04/23,to-read,to-read (#725),to-read,,,,0,,,0,,,,,
75291,Art as Experience,John Dewey,"Dewey, John",,"=""0399531971""","=""9780399531972""",0,3.92,TarcherPerigee,Paperback,384,2005,1934,,2019/04/23,to-read,to-read (#724),to-read,,,,0,,,0,,,,,
2671,The Painted Word,Tom Wolfe,"Wolfe, Tom",,"=""0553380656""","=""9780553380651""",0,3.82,Bantam,Paperback,112,1999,1975,,2019/04/23,to-read,to-read (#723),to-read,,,,0,,,0,,,,,
15799151,Daily Rituals: How Artists Work,Mason Currey,"Currey, Mason",,"=""0307273601""","=""9780307273604""",0,3.66,Knopf,Hardcover,304,2013,2013,,2019/04/23,to-read,to-read (#722),to-read,,,,0,,,0,,,,,
3717320,The $12 Million Stuffed Shark: The Curious Economics of Contemporary Art,Don Thompson,"Thompson, Don",,"=""0230610226""","=""9780230610224""",0,3.86,Palgrave Macmillan,Hardcover,272,2008,2008,,2019/04/23,to-read,to-read (#721),to-read,,,,0,,,0,,,,,
765654,Ish,Peter H. Reynolds,"Reynolds, Peter H.",,"=""076362344X""","=""9780763623449""",0,4.35,Candlewick Press,Hardcover,32,2004,2004,,2019/04/23,to-read,to-read (#720),to-read,,,,0,,,0,,,,,
198511,Dear Theo,Vincent van Gogh,"Gogh, Vincent van","Irving Stone, Jean   Stone","=""0452275040""","=""9780452275041""",0,4.11,Plume Books,Paperback,480,1995,1914,,2019/04/23,to-read,to-read (#718),to-read,,,,0,,,0,,,,,
47558,"The Gashlycrumb Tinies (The Vinegar Works, #1)",Edward Gorey,"Gorey, Edward",,"=""0747541604""","=""9780747541608""",0,4.19,Bloomsbury ,Hardcover,32,1998,1963,,2019/04/23,to-read,to-read (#719),to-read,,,,0,,,0,,,,,
16240792,Make Good Art,Neil Gaiman,"Gaiman, Neil",Chip Kidd,"=""0062266764""","=""9780062266767""",0,4.29,William Morrow,Hardcover,80,2013,2013,,2019/04/23,to-read,to-read (#717),to-read,,,,0,,,0,,,,,
627055,The Principles of Uncertainty,Maira Kalman,"Kalman, Maira",,"=""159420134X""","=""9781594201349""",0,4.03,Penguin Press,Paperback,336,2007,2007,,2019/04/23,to-read,to-read (#716),to-read,,,,0,,,0,,,,,
85730,Sabine's Notebook (Griffin & Sabine #2),Nick Bantock,"Bantock, Nick",,"=""0811801802""","=""9780811801805""",0,4.18,Chronicle Books,Hardcover,48,1992,1992,,2019/04/23,to-read,to-read (#715),to-read,,,,0,,,0,,,,,
13369549,"The Lady in Gold: The Extraordinary Tale of Gustav Klimt's Masterpiece, Portrait of Adele Bloch-Bauer",Anne-Marie  O'Connor,"O'Connor, Anne-Marie",,"=""""","=""""",0,3.96,Knopf,Kindle Edition,370,2012,2012,,2019/04/23,to-read,to-read (#714),to-read,,,,0,,,0,,,,,
20820994,I'll Give You the Sun,Jandy Nelson,"Nelson, Jandy",,"=""0803734964""","=""9780803734968""",0,4.13,Dial Books,Hardcover,371,2014,2014,,2019/04/23,to-read,to-read (#713),to-read,,,,0,,,0,,,,,
168814,Keys to Drawing,Bert Dodson,"Dodson, Bert",,"=""0891343377""","=""9780891343370""",0,4.01,North Light Books,Paperback,224,1990,1985,,2019/04/23,to-read,to-read (#712),to-read,,,,0,,,0,,,,,
25667449,The Lonely City: Adventures in the Art of Being Alone,Olivia Laing,"Laing, Olivia",,"=""1250039576""","=""9781250039576""",0,3.92,Picador,Hardcover,336,2016,2016,,2019/04/23,to-read,to-read (#711),to-read,,,,0,,,0,,,,,
28078,The Birth of Venus,Sarah Dunant,"Dunant, Sarah",,"=""0812968972""","=""9780812968972""",0,3.8,Random House,Paperback,427,2004,2003,,2019/04/23,to-read,to-read (#710),to-read,,,,0,,,0,,,,,
24453082,Big Magic: Creative Living Beyond Fear,Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""1594634718""","=""9781594634710""",0,3.91,Riverhead Books,Hardcover,288,2015,2015,,2019/04/23,to-read,to-read (#709),to-read,,,,0,,,0,,,,,
321577,Girl in Hyacinth Blue,Susan Vreeland,"Vreeland, Susan",,"=""014029628X""","=""9780140296280""",0,3.73,Penguin Books,Paperback,242,2000,1999,,2019/04/23,to-read,to-read (#708),to-read,,,,0,,,0,,,,,
120253,Good Faeries Bad Faeries,Brian Froud,"Froud, Brian",Terry Windling,"=""0684847817""","=""9780684847818""",0,3.89,Simon  Schuster,Hardcover,192,1998,1998,,2019/04/23,to-read,to-read (#707),to-read,,,,0,,,0,,,,,
61506,Art and Illusion: A Study in the Psychology of Pictorial Representation,E.H. Gombrich,"Gombrich, E.H.",,"=""0714842087""","=""9780714842080""",0,4,Phaidon Press,Paperback,412,2002,1960,,2019/04/23,to-read,to-read (#706),to-read,,,,0,,,0,,,,,
7821828,The Hare With Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,"Waal, Edmund de",,"=""0374105979""","=""9780374105976""",0,3.86,"Farrar, Straus and Giroux",Hardcover,368,2010,2009,,2019/04/23,to-read,to-read (#705),to-read,,,,0,,,0,,,,,
6886931,Imaginative Realism: How to Paint What Doesn't Exist,James Gurney,"Gurney, James",,"=""0740785508""","=""9780740785504""",0,4.03,Andrews McMeel Publishing,Paperback,224,2009,2009,,2019/04/23,to-read,to-read (#704),to-read,,,,0,,,0,,,,,
254799,The Creative Habit: Learn It and Use It for Life,Twyla Tharp,"Tharp, Twyla",,"=""0743235274""","=""9780743235273""",0,4,Simon  Schuster,Paperback,247,2006,2003,,2019/04/23,to-read,to-read (#703),to-read,,,,0,,,0,,,,,
7907803,An Object of Beauty,Steve Martin,"Martin, Steve",,"=""0446573647""","=""9780446573641""",0,3.61,Grand Central Publishing,Hardcover,304,2010,2010,,2019/04/23,to-read,to-read (#702),to-read,,,,0,,,0,,,,,
3061,The Natural Way to Draw,Kimon Nicolaides,"Nicolaides, Kimon",Mamie Harmon,"=""0395530075""","=""9780395530078""",0,3.88,Mariner Books,Paperback,240,1990,1941,,2019/04/23,to-read,to-read (#701),to-read,,,,0,,,0,,,,,
40168,The Creative License: Giving Yourself Permission to Be The Artist You Truly Are,Danny Gregory,"Gregory, Danny",,"=""1401307922""","=""9781401307929""",0,3.93,Hachette Books,Paperback,208,2006,2005,,2019/04/23,to-read,to-read (#699),to-read,,,,0,,,0,,,,,
79834,Lust for Life,Irving Stone,"Stone, Irving",,"=""0099416425""","=""9780099416425""",0,4.23,Arrow,Paperback,431,1990,1934,,2019/04/23,to-read,to-read (#700),to-read,,,,0,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""0307277674""","=""9780307277671""",0,3.82,Anchor,Paperback,489,2006,2003,,2019/04/23,to-read,to-read (#698),to-read,,,,0,,,0,,,,,
103902,Gustav Klimt: 1862-1918,Gilles Néret,"Néret, Gilles",,"=""382285980X""","=""9783822859803""",0,4.13,Taschen,Paperback,96,1999,1992,,2019/04/23,to-read,to-read (#697),to-read,,,,0,,,0,,,,,
27398,The Lost Painting,Jonathan Harr,"Harr, Jonathan",,"=""0375759867""","=""9780375759864""",0,3.72,Random House Trade Paperbacks,Paperback,320,2006,2005,,2019/04/23,to-read,to-read (#696),to-read,,,,0,,,0,,,,,
47559,"Amphigorey (Amphigorey, #1)",Edward Gorey,"Gorey, Edward",,"=""0399504338""","=""9780399504334""",0,4.05,TarcherPerigee,Paperback,220,1980,1972,,2019/04/23,to-read,to-read (#694),to-read,,,,0,,,0,,,,,
60431,Andy Goldsworthy: A Collaboration with Nature,Andy Goldsworthy,"Goldsworthy, Andy",,"=""0810933519""","=""9780810933514""",0,3.88,Harry N. Abrams,Hardcover,120,1990,1990,,2019/04/23,to-read,to-read (#695),to-read,,,,0,,,0,,,,,
19797,The Power of Art,Simon Schama,"Schama, Simon",,"=""0061176109""","=""9780061176104""",0,3.87,Ecco,Hardcover,448,2006,2006,,2019/04/23,to-read,to-read (#693),to-read,,,,0,,,0,,,,,
497164,Camera Lucida: Reflections on Photography,Roland Barthes,"Barthes, Roland",Richard Howard,"=""0374521344""","=""9780374521349""",0,3.94,Hill and Wang,Paperback,119,1982,1980,,2019/04/23,to-read,to-read (#692),to-read,,,,0,,,0,,,,,
111113,Interaction of Color,Josef Albers,"Albers, Josef",Nicholas Fox Weber,"=""0300115954""","=""9780300115956""",0,4.05,Yale University Press,Paperback,160,2006,1971,,2019/04/23,to-read,to-read (#691),to-read,,,,0,,,0,,,,,
6514074,"The Monuments Men: Allied Heroes, Nazi Thieves, and the Greatest Treasure Hunt in History",Robert M. Edsel,"Edsel, Robert M.",Bret Witter,"=""1599951495""","=""9781599951492""",0,3.75,Center Street,Hardcover,473,2009,2009,,2019/04/23,to-read,to-read (#690),to-read,,,,0,,,0,,,,,
147941,Figure Drawing for All It's Worth (How to draw and paint),Andrew Loomis,"Loomis, Andrew",,"=""067031255X""","=""9780670312559""",0,3.99,Viking Adult,Hardcover,204,1971,1943,,2019/04/23,to-read,to-read (#689),to-read,,,,0,,,0,,,,,
148821,Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture,Ross King,"King, Ross",,"=""0142000159""","=""9780142000151""",0,3.86,Penguin Books,Paperback,192,2001,2000,,2019/04/23,to-read,to-read (#688),to-read,,,,0,,,0,,,,,
207781,"The Art Spirit: Notes, Articles, Fragments of Letters and Talks to Students, Bearing on the Concept and Technique of Picture Making, the Study of Art (Icon Editions)",Robert Henri,"Henri, Robert","Forbes Watson, Margery A. Ryerson","=""0064301389""","=""9780064301381""",0,3.87,Westview Press,Paperback,284,1984,1929,,2019/04/23,to-read,to-read (#687),to-read,,,,0,,,0,,,,,
91767,Frida: A Biography of Frida Kahlo,Hayden Herrera,"Herrera, Hayden",,"=""0060085894""","=""9780060085896""",0,3.96,Harper Perennial,Paperback,528,2002,1983,,2019/04/23,to-read,to-read (#686),to-read,,,,0,,,0,,,,,
34684622,Leonardo da Vinci,Walter Isaacson,"Isaacson, Walter",,"=""1501139150""","=""9781501139154""",0,4.2,Simon  Schuster,Hardcover,600,2017,2017,,2019/04/23,to-read,to-read (#685),to-read,,,,0,,,0,,,,,
520738,On Ugliness,Umberto Eco,"Eco, Umberto",,"=""0847829863""","=""9780847829866""",0,3.83,Rizzoli International Publications,Hardcover,456,2007,2007,,2019/04/23,to-read,to-read (#683),to-read,,,,0,,,0,,,,,
8384010,Color and Light: A Guide for the Realist Painter,James Gurney,"Gurney, James",,"=""0740797719""","=""9780740797712""",0,4.2,Andrews McMeel Publishing,Paperback,224,2010,2010,,2019/04/23,to-read,to-read (#684),to-read,,,,0,,,0,,,,,
825377,The Dot,Peter H. Reynolds,"Reynolds, Peter H.",,"=""0763619612""","=""9780763619619""",0,4.17,Candlewick Press,Hardcover,32,2003,2003,,2019/04/23,to-read,to-read (#682),to-read,,,,0,,,0,,,,,
18290401,Show Your Work!: 10 Ways to Share Your Creativity and Get Discovered,Austin Kleon,"Kleon, Austin",,"=""076117897X""","=""9780761178972""",0,4.11,Workman Publishing Company,Paperback,224,2014,2014,,2019/04/23,to-read,to-read (#681),to-read,,,,0,,,0,,,,,
381102,Griffin and Sabine (Griffin & Sabine #1),Nick Bantock,"Bantock, Nick",,"=""1551924013""","=""9781551924014""",0,4,Raincoast Books,Hardcover,46,2001,1991,,2019/04/23,to-read,to-read (#679),to-read,,,,0,,,0,,,,,
56912,The Judgment of Paris: The Revolutionary Decade That Gave the World Impressionism,Ross King,"King, Ross",,"=""0802715168""","=""9780802715166""",0,3.81,Walker & Company,Paperback,448,2006,2006,,2019/04/23,to-read,to-read (#680),to-read,,,,0,,,0,,,,,
3253215,"An Illustrated Life: Drawing Inspiration From The Private Sketchbooks Of Artists, Illustrators And Designers",Danny Gregory,"Gregory, Danny",,"=""1600610862""","=""9781600610868""",0,3.65,HOW Books,Paperback,266,2008,2008,,2019/04/23,to-read,to-read (#677),to-read,,,,0,,,0,,,,,
87640,PostSecret: Extraordinary Confessions from Ordinary Lives (PostSecret),Frank Warren,"Warren, Frank",,"=""0060899190""","=""9780060899196""",0,3.97,HC,Hardcover,278,2005,2005,,2019/04/23,to-read,to-read (#677),to-read,,,,0,,,0,,,,,
887201,Faeries,Brian Froud,"Froud, Brian",Alan  Lee,"=""""","=""""",0,3.86,Abrams,Hardcover,200,2002,1978,,2019/04/23,to-read,to-read (#677),to-read,,,,0,,,0,,,,,
737957,Michelangelo and the Pope's Ceiling,Ross King,"King, Ross",,"=""0142003697""","=""9780142003695""",0,3.74,Penguin,Paperback,384,2003,2003,,2019/04/23,to-read,to-read (#677),to-read,,,,0,,,0,,,,,
31818,The Philosophy of Andy Warhol (From A to B and Back Again),Andy Warhol,"Warhol, Andy",,"=""0156717204""","=""9780156717205""",0,3.72,Mariner Books,Paperback,272,1977,1975,,2019/04/23,to-read,to-read (#678),to-read,,,,0,,,0,,,,,
203805,Vincent Van Gogh: The Complete Paintings,Rainer Metzger,"Metzger, Rainer",Ingo F. Walther,"=""3822812153""","=""9783822812150""",0,4.07,Taschen,Hardcover,740,2001,1988,,2019/04/23,to-read,to-read (#676),to-read,,,,0,,,0,,,,,
233389,The Lives of the Artists,Giorgio Vasari,"Vasari, Giorgio","Julia Conway Bondanella, Peter Bondanella","=""019283410X""","=""9780192834102""",0,3.72,Oxford University Press,Paperback,616,1998,1550,,2019/04/23,to-read,to-read (#675),to-read,,,,0,,,0,,,,,
24096,Leonardo's Notebooks,Leonardo da Vinci,"Vinci, Leonardo da",H. Anna Suh,"=""1579124577""","=""9781579124571""",0,3.92,Black Dog & Leventhal,Hardcover,352,2005,1519,,2019/04/23,to-read,to-read (#674),to-read,,,,0,,,0,,,,,
341879,Just Kids,Patti Smith,"Smith, Patti",,"=""006621131X""","=""9780066211312""",0,4.13,Ecco,Hardcover,304,2010,2010,,2019/04/23,to-read,to-read (#673),to-read,,,,0,,,0,,,,,
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles,Steven Pressfield,"Pressfield, Steven",Robert McKee,"=""0446691437""","=""9780446691437""",0,4.02,Warner Books,Paperback,168,2003,2002,,2019/04/23,to-read,to-read (#672),to-read,,,,0,,,0,,,,,
542639,The Shock of the New,Robert Hughes,"Hughes, Robert",,"=""0500275823""","=""9780500275825""",0,3.69,Thames & Hudson,Paperback,444,2004,1980,,2019/04/23,to-read,to-read (#670),to-read,,,,0,,,0,,,,,
2693801,History of Art,H.W. Janson,"Janson, H.W.",Anthony F. Janson,"=""0500237514""","=""9780500237519""",0,3.76,Thames and Hudson,Hardcover,1000,1997,1962,,2019/04/23,to-read,to-read (#671),to-read,,,,0,,,0,,,,,
32525,Art Through the Ages ,Helen Gardner,"Gardner, Helen","Fred S. Kleiner, Christin J. Mamiya","=""0155050907""","=""9780155050907""",0,3.8,Wadsworth Publishing,Hardcover,1150,2004,1926,,2019/04/23,to-read,to-read (#669),to-read,,,,0,,,0,,,,,
